Id,Area_SqFt,Bedrooms,Bathrooms,Floors,Year_Built,Location,Condition,Garage_Capacity,Has_Pool,Distance_City_Center_Miles,Price
1001,2597.4,3.0,3.0,2,1965.0,Urban,Fair,0,Yes,5.8,477700.0
1002,2089.4,3.0,2.0,2,2019.0,Urban,Fair,0,No,10.33,460000.0
1003,2718.2,3.0,3.0,1,2005.0,Downtown,Good,2,No,4.8,671400.0
1004,3418.4,5.0,5.0,1,2007.0,Suburbs,Excellent,2,No,0.56,786700.0
1005,2012.7,3.0,3.0,1,1953.0,Suburbs,Fair,3,No,9.15,350900.0
1006,2012.7,2.0,2.0,1,1953.0,Suburbs,Poor,2,No,23.27,240000.0
1007,3463.4,2.0,2.0,2,1969.0,Downtown,Very Good,2,No,4.83,761700.0
1008,2813.9,2.0,1.0,3,1959.0,Suburbs,Good,2,No,2.44,477000.0
1009,1824.4,2.0,3.0,1,1973.0,Rural,Good,2,No,5.84,458400.0
1010,2634.0,2.0,2.0,1,1975.0,Downtown,Very Good,2,Yes,0.5,556100.0
1011,1829.3,2.0,2.0,1,1986.0,Downtown,Excellent,2,No,17.18,393500.0
1012,1827.4,3.0,3.0,3,2003.0,Suburbs,Excellent,0,No,17.51,458400.0
1013,2393.6,2.0,3.0,1,1970.0,Suburbs,Good,1,No,8.87,422500.0
1014,669.4,4.0,4.0,2,2023.0,Urban,Good,2,No,4.36,298900.0
1015,820.1,2.0,1.0,1,1987.0,Urban,Very Good,1,No,16.08,110100.0
1016,1750.2,3.0,3.0,1,1995.0,Suburbs,Fair,1,No,8.09,900000.0
1017,1389.7,3.0,3.0,3,1953.0,Urban,Good,1,No,17.48,220500.0
1018,2451.4,5.0,5.0,3,2009.0,Downtown,Good,1,Yes,9.98,755800.0
1019,1473.6,3.0,2.0,1,2006.0,Urban,Good,1,No,15.34,338000.0
1020,1070.2,3.0,2.0,3,1994.0,Suburbs,Fair,1,No,9.13,250300.0
1021,3372.5,3.0,5.0,2,1969.0,Urban,Fair,3,No,5.35,782900.0
1022,2019.4,4.0,4.0,2,1966.0,Downtown,Excellent,1,No,31.69,421100.0
1023,2254.0,4.0,3.0,1,2020.0,Urban,Fair,0,No,7.79,554000.0
1024,1060.2,3.0,2.0,2,1953.0,Downtown,Good,0,Yes,9.29,159900.0
1025,1764.5,2.0,2.0,1,1963.0,Downtown,Fair,2,No,2.49,377600.0
1026,2288.7,3.0,3.0,2,1952.0,Downtown,Poor,1,No,9.83,458400.0
1027,1279.2,5.0,4.0,1,2007.0,Suburbs,Poor,2,No,8.48,417300.0
1028,2500.6,3.0,2.0,1,1988.0,Downtown,Fair,2,Yes,2.04,666800.0
1029,1719.5,3.0,2.0,1,1953.0,Downtown,Very Good,2,Yes,0.61,384600.0
1030,1966.6,3.0,2.0,2,1973.0,Suburbs,Fair,1,No,9.27,348900.0
1031,1718.6,4.0,4.0,1,1983.0,Suburbs,Excellent,2,No,14.43,364600.0
1032,500.0,2.0,2.0,2,1979.0,Suburbs,Good,1,No,7.41,610400.0
1033,2189.2,3.0,2.0,3,1968.0,Urban,Good,3,No,2.57,518900.0
1034,1353.8,3.0,2.0,1,1980.0,Downtown,Good,2,No,10.98,282000.0
1035,500.0,3.0,2.0,2,2009.0,Downtown,Good,1,No,0.83,795100.0
1036,1223.3,2.0,2.0,1,2009.0,Urban,Very Good,1,No,5.83,309500.0
1037,2367.1,2.0,3.0,2,1968.0,Suburbs,Fair,0,No,1.78,466400.0
